Product,Price,Ounces,Source,Price per ounce,Categories
Pam Non Stick Butter Cooking Spray,4.49,5,Food City,0.898,65
Pam Original No-stick Cooking Spray,4.49,6,Food City,0.748333333,65
Pam Air Fryer No-stick Cooking Spray,5.99,6,Food City,0.998333333,65
Pam No-stick Original Cooking Spray,5.49,8,Food City,0.68625,65
Fresh Chocolate Dipped Strawberries,14.99,16,Food City,0.936875,66
Plum Organics Beet + Strawberry,3.79,1.85,Food City,2.048648649,66
Fresh Strawberry Yogurt Parfait,3.99,10.8,Food City,0.369444444,66
Driscoll's Organic Strawberries,6.99,16,Food City,0.436875,66
Basket & Bushel Fresh Strawberries,4.99,16,Food City,0.311875,66
Jelly Belly Sizzling Cinnamon Jelly Beans,2.39,3.5,Food City,0.682857143,67
Jelly Belly Sours,5.99,9.8,Food City,0.61122449,67
Smucker's Strawberry Jelly,4.49,18,Food City,0.249444444,67
Food Club Strawberry Jelly,2.99,18,Food City,0.166111111,67
Smucker's Strawberry Peanut Butter & Strawberry Jelly Stripes,3.99,18,Food City,0.221666667,67
Smucker's Grape Jelly,2.5,20,Food City,0.125,67
Domino Premium Pure Cane Granulated Sugar Bag,4.99,4,Food City,1.2475,68
Food Club Pure Cane Granulated Sugar,3.99,4,Food City,0.9975,68
"That's Smart! Sugar, Pure Cane, Granulated",3.49,4,Food City,0.8725,68
"Food Club Sugar, Pure Cane, Granulated",8.99,10,Food City,0.899,68
Food Club Pure Cane Granulated Sugar,21.99,25,Food City,0.8796,68
Food Club Pure Cane Granulated Sugar,2.19,32,Food City,0.0684375,68
"Tide Laundry Detergent Pods, 25 Ct.",12.99,25,Food City,0.5196,69
"Tide Laundry Detergent Pods, 45 Ct.",21.99,45,Food City,0.488666667,69
"Tide Laundry Detergent Pods, 9 Ct.",6.99,9,Food City,0.776666667,69
"Tide Pods Laundry Detergent Pacs 49 Count, Original Scent",12.99,49,Food City,0.265102041,69
"Tide Power Pods Laundry Detergent Pacs, Original, 25 Ct.",12.99,25,Food City,0.5196,69
"Tide Pods Laundry Detergent Pacs 76 Count, Original Scent",21.99,76,Food City,0.289342105,69
Fresh Yellow Tomato,3.99,16,Food City,0.249375,70
Fresh Vine Tomatoes,2.49,16,Food City,0.155625,70
Fresh Heirloom Tomato,4.99,16,Food City,0.311875,70
"Fresh Tomatoes, Salad",1.99,16,Food City,0.124375,70
Fresh Heirloom Tomatoes,4.99,16,Food City,0.311875,70
Fresh Green Tomatoes,4.99,16,Food City,0.311875,70
Hunt's Tomato Sauce,0.85,8,Food City,0.10625,71
Food Club Tomato Sauce,0.59,8,Food City,0.07375,71
"Cento Tomato Sauce, Sauce Italiano",2.39,15,Food City,0.159333333,71
That's Smart! Tomato Sauce,0.99,15,Food City,0.066,71
Pomi Tomato Sauce CARTON,2.99,17.64,Food City,0.169501134,71
Hunt's Tomatoes Sauce,3.49,33.5,Food City,0.104179104,71
Sauer's Extract Pure Vanilla,7.99,1,Food City,7.99,72
McCormick Pure Vanilla Extract Box,4.79,1,Food City,4.79,72
McCormick Pure Vanilla Extract,7.29,2,Food City,3.645,72
Food Club Pure Vanilla Extract,6.99,2,Food City,3.495,72
Food Club Pure Vanilla Extract,16.39,8,Food City,2.04875,72
Food Club Imitation Vanilla Extract,2.99,8,Food City,0.37375,72
Power Provisions Chicken Vegetable Bone Broth Soup,3.29,1.2,Food City,2.741666667,73
Manischewitz Chicken Broth,3.29,17,Food City,0.193529412,73
Swanson® Vegetable Broth,2.39,32,Food City,0.0746875,73
Full Circle Market Vegetable Broth,1.99,32,Food City,0.0621875,73
Pacific Foods Organic Vegetable Broth,3.99,32,Food City,0.1246875,73
Food Club Chicken Broth,2.99,48,Food City,0.062291667,73
Wonderful Sea Salt & Vinegar No Shells Sea Salt & Vinegar Pistachios,5.99,5.5,Food City,1.089090909,74
Newman's Own Olive Oil & Vinegar Classic Oil & Vinegar Dressing,4.59,16,Food City,0.286875,74
Windex With Vinegar Cleaner BOTTLE,4.49,23,Food City,0.195217391,74
Alessi Balsamic Vinegar,2.99,8.5,Food City,0,74
Fresh Whole Seedless Watermelon,9.99,16,Food City,0.624375,75
Fresh Whole Watermelon,8.99,16,Food City,0.561875,75
Daily's Watermelon Watermelon Frozen Cocktail,2,10,Food City,0.2,75
ShortCuts Large Watermelon Bowl 48 oz,3.99,16,Food City,0.249375,75
Fleischmann's Activedry Original Yeast,1.99,0.75,Food City,2.653333333,76
Fleischmann's Pizza Crust Yeast,1.99,0.75,Food City,2.653333333,76
Platinum Superior Baking Yeast,3.29,0.75,Food City,4.386666667,76
Parodontax Active Gum Repair Whitening Active Gum Repair Whitening Toothpaste,6.99,3.4,Food City,2.055882353,76
"Olay Active Hydrating Active Hydrating Beauty Moisturizing Lotion, 4.0 Fl Oz",9.99,4,Food City,2.4975,76
Pero Family Farms Yellow Organic Bell Pepper,3.49,5,Food City,0.698,77
"Food Club Pepper Strip Blend, With Green, Red And Yellow Bell Peppers",3.29,16,Food City,0.205625,77
Silk Almondmilk Vanilla Yogurt Alternative CUP,1.79,5.3,Food City,0.337735849,78
Silk Dairy-free Vanilla Soymilk Yogurt Alternative,1.79,5.3,Food City,0.337735849,78
Silk Chocolate Soy Protein Milk,6.99,48,Food City,0.145625,78
Silk Original Soy Protein Milk,6.99,48,Food City,0.145625,78
Pero Family Farms Organic Zucchini,1.99,6.5,Food City,0.306153846,79
"Fresh Zucchini, Squash",1.99,16,Food City,0.124375,79
ShortCuts Grillers Zucchini Noodles,4.99,16,Food City,0.311875,79
ShortCuts Grillers Fresh Cut Sliced Zucchini,3.99,16,Food City,0.249375,79
"Pictsweet Farms Red Potatoes, Carrots, Onions & Zucchini",3.99,18,Food City,0.221666667,79
